sentid	len	stage	elapsedtime	logprob	frags	numitems	golditems	totalgolditems
0	28	dop	6.121834	-180.64152303872325	36	385825	76	76
1	46	dop	40.183502	-294.6234715563012	53	1040750	124	124
2	50	dop	52.231052000000005	-281.66409895971304	57	1214792	138	138
3	30	dop	6.569593999999995	-165.78313950889043	27	408761	79	79
4	69	dop	287.467028	-418.5519245317438	88	2293031	187	187
5	28	dop	6.516368	-161.31723175819727	32	386801	73	73
6	11	dop	0.2339939999999956	-42.903521836738186	10	43125	31	31
7	21	dop	2.424117000000024	-129.86866277787303	27	220228	61	61
8	17	dop	0.7767110000000343	-79.10058387477437	20	111864	43	43
9	7	dop	0.14690400000000636	-48.47121195524815	8	32032	21	21
10	23	dop	2.1600540000000024	-144.65859118278652	34	216677	59	59
11	16	dop	1.1119729999999777	-96.74395111839607	17	139177	41	41
12	14	dop	0.42996699999997645	-94.71972826216019	20	65525	37	37
13	53	dop	72.81669099999999	-325.28778897963224	68	1394893	143	143
14	30	dop	5.211714000000029	-191.2076956826909	42	347853	75	75
15	26	dop	4.755449999999996	-155.06689745949276	29	323971	68	68
16	14	dop	0.6048959999999965	-77.14480757176372	19	95715	37	37
17	49	dop	38.47787900000003	-299.7053710393789	60	993923	131	131
18	15	dop	0.7406009999999696	-91.49492890725394	21	104832	38	38
19	53	dop	76.51467600000001	-364.1215727254635	65	1411202	136	136
20	57	dop	89.969155	-366.44486956379154	67	1506195	148	148
21	34	dop	10.175926000000004	-225.65896817497935	47	505460	90	90
22	53	dop	76.322989	-328.46557031957985	65	1413353	136	136
23	21	dop	2.179650000000038	-140.87969314045753	27	216634	55	55
24	31	dop	8.361053999999967	-203.2981251912695	38	457693	81	81
25	21	dop	2.4024080000000367	-125.85798291524034	23	231869	56	56
26	31	dop	7.8279810000000225	-197.03011386552885	36	442219	85	85
27	50	dop	42.209108000000015	-298.5458394799588	65	1047549	129	129
28	44	dop	19.637188000000037	-253.6157991305126	53	701163	109	109
29	51	dop	73.04829399999994	-295.9076358541651	53	1359080	128	128
30	37	dop	16.25835600000005	-232.04651184109073	45	649767	98	98
31	34	dop	14.822748000000047	-222.28051247019923	49	607079	89	89
32	35	dop	13.939406000000076	-221.15148839481623	38	573570	100	100
33	7	dop	0.10971399999993992	-38.395037540983516	7	23774	18	18
34	11	dop	0.2505749999999125	-63.22974493899052	14	46444	29	29
35	23	dop	2.3319760000000542	-184.68389979130845	33	219523	61	61
36	14	dop	0.39297399999998106	-67.96850694243615	14	71157	31	31
37	27	dop	5.40023199999996	-164.6141376432545	35	365005	70	70
38	12	dop	0.37176499999998214	-75.67816537765461	14	67181	34	34
39	9	dop	0.12363400000003821	-49.943896813528696	13	25391	28	28
40	22	dop	1.7561629999999013	-119.78944614514772	26	191321	58	58
41	9	dop	0.18298700000002555	-49.20504415555059	9	42350	22	22
42	6	dop	0.06110199999989163	-43.85871104649219	9	14621	17	17
43	10	dop	0.2577760000000353	-66.30448736018563	12	49333	29	29
44	9	dop	0.165691000000038	-55.20259200733528	15	32261	26	26
45	5	dop	0.08880099999998947	-20.513992328691845	3	18194	14	14
46	18	dop	1.2869529999999259	-119.05380067067362	21	157037	49	49
47	10	dop	0.20764899999994668	-55.7478327523773	12	42607	26	26
48	7	dop	0.147199999999998	-40.393939090390475	8	32397	18	18
49	16	dop	0.8219830000000456	-114.06931771355283	24	120796	41	41
50	25	dop	2.5665270000000646	-146.34324521060677	30	240497	65	65
51	26	dop	2.965184000000022	-150.98429268950434	30	261095	61	61
52	12	dop	0.40069900000003145	-74.55075327270367	14	71007	33	33
53	12	dop	0.33609899999999016	-86.97303761713172	15	60000	34	34
54	10	dop	0.2826720000000478	-71.8887366299878	10	53150	26	26
55	10	dop	0.25474400000007336	-48.69427157740184	11	53555	25	25
56	15	dop	0.6405189999999266	-82.12064588251388	15	98659	41	41
57	11	dop	0.22265100000004168	-67.06077925692885	13	44791	30	30
58	11	dop	0.3696659999999383	-70.68561683833164	12	67835	29	29
59	16	dop	0.7955680000000029	-91.75724761820886	19	116729	40	40
60	20	dop	1.4027549999999565	-85.60498803789078	17	157827	51	51
61	8	dop	0.12289999999995871	-51.68943782696417	9	27292	21	21
62	7	dop	0.10092599999995855	-46.35651943450443	8	21128	19	19
63	7	dop	0.10652800000002571	-42.610605081488664	8	23784	21	21
64	16	dop	0.5051140000000487	-102.2476655176157	23	81602	40	40
65	7	dop	0.10814000000004853	-37.99214832474474	6	25456	18	18
66	9	dop	0.1983309999999392	-64.83977195508832	10	40938	23	23
67	16	dop	0.7432819999999083	-119.05622308957658	24	107297	42	42
68	15	dop	0.7070899999999938	-84.07891556149079	17	100587	41	41
69	7	dop	0.15455999999994674	-44.477131868596324	9	33915	18	18
70	4	dop	0.05158300000005056	-35.70689292987803	6	7412	14	14
71	18	dop	1.212515000000053	-93.4310975041782	18	143302	50	50
72	22	dop	2.4046319999999923	-121.73907711257064	24	221768	58	58
73	21	dop	1.9577159999998912	-127.9876103215931	24	204628	58	58
74	8	dop	0.13235099999997146	-49.731367090413954	12	26546	20	20
75	8	dop	0.10414000000014312	-65.83179376659248	18	19772	25	25
76	17	dop	1.0268610000000535	-98.69027177622402	18	139762	46	46
77	11	dop	0.2760240000000067	-67.23946573001855	12	53836	29	29
78	9	dop	0.15817100000003848	-45.246959140021936	11	35036	24	24
79	9	dop	0.19024100000001454	-37.65021814705349	9	40212	24	24
80	39	dop	22.632602000000134	-214.00989603560555	47	767634	106	106
81	16	dop	0.7479049999999461	-98.47329583455777	21	111855	40	40
82	28	dop	6.078780999999935	-161.6362913852527	29	377866	79	79
83	10	dop	0.13045599999986734	-51.33128951656709	12	28475	29	29
84	8	dop	0.11841000000003987	-53.0601211968595	12	23495	24	24
85	11	dop	0.2830149999999776	-69.49097982734519	13	50901	30	30
86	18	dop	1.168978000000152	-95.19252186608176	19	149922	50	50
87	28	dop	4.782813999999917	-152.37086094432817	39	320225	75	75
88	15	dop	0.7416500000001633	-90.92885456605099	19	105292	38	38
89	8	dop	0.13356500000008964	-36.4374736705513	7	28898	21	21
90	21	dop	1.8503599999999096	-125.24545169273628	22	190342	59	59
91	22	dop	2.6993930000001	-104.07009545708482	22	231995	57	57
92	17	dop	1.254310999999916	-105.97026519494185	19	155476	46	46
93	6	dop	0.07978300000013405	-41.30226128972519	7	17568	16	16
94	18	dop	0.3519129999999677	-107.60426939497009	27	67091	47	47
95	23	dop	3.758546000000024	-129.85113692837695	24	282774	60	60
96	22	dop	2.8538919999998598	-132.05851794519327	24	242119	57	57
97	24	dop	3.0887760000000526	-148.50871556063052	32	258527	59	59
98	11	dop	0.30428299999994124	-85.92283203821914	16	49616	30	30
99	11	dop	0.27815099999997983	-65.97610884178701	11	55200	32	32
100	24	dop	3.349185000000034	-124.03067516911598	24	260718	65	65
101	19	dop	1.2872419999998783	-133.5889737651518	27	150122	48	48
102	22	dop	0.9790490000000318	-126.50969627335539	30	132569	54	54
103	23	dop	2.619173000000046	-140.80663222182469	28	240087	60	60
104	15	dop	0.5459849999999733	-104.86979518053455	22	81792	36	36
105	18	dop	1.1394249999998465	-117.30035719476672	22	141586	50	50
106	32	dop	9.06830200000013	-164.23130371619104	36	457601	80	80
107	27	dop	5.552161999999953	-194.65464076497096	40	365399	72	72
108	29	dop	7.829661999999871	-164.40268645759303	31	442441	77	77
109	30	dop	8.181344000000081	-180.35103112019326	37	432827	82	82
110	19	dop	1.9257939999999962	-105.74196576078589	21	195872	50	50
111	16	dop	1.2090270000001055	-100.32679925257236	19	142107	42	42
112	25	dop	3.613068999999996	-149.58786295628525	30	274974	68	68
113	18	dop	1.0770339999999123	-111.2136880646735	26	139966	49	49
114	25	dop	3.187951000000112	-140.26902326030407	30	268724	65	65
115	17	dop	0.9154369999998835	-87.22414201348317	20	123957	45	45
116	21	dop	1.8474439999999959	-135.4055675864809	27	199229	53	53
117	21	dop	1.4546629999999823	-131.34920649945198	24	173523	56	56
118	26	dop	4.958831999999802	-158.05822710727807	30	336561	71	71
119	25	dop	4.4869679999999335	-161.16688901923035	31	336268	66	66
120	26	dop	3.514991000000009	-157.14460628378436	37	284501	69	69
121	20	dop	2.26888299999996	-140.96003232841056	25	234091	51	51
122	24	dop	2.882000000000062	-138.83207007140288	25	259728	64	64
123	17	dop	0.6041320000001633	-92.3167803144603	18	100333	44	44
124	17	dop	0.879560999999967	-88.84200845339852	17	129156	43	43
125	13	dop	0.5085090000000037	-73.10791618279617	16	86542	37	37
126	20	dop	1.7969120000000203	-128.32707846122602	22	199684	51	51
127	24	dop	2.3794319999999516	-133.5268501642813	27	235389	58	58
128	19	dop	0.8951309999999921	-122.78939754243113	29	128882	50	50
129	22	dop	2.6039959999998246	-161.6393551957578	28	238518	58	58
130	15	dop	0.668299000000161	-108.42329413379247	22	100032	41	41
131	21	dop	2.4746289999998226	-145.95999731790727	27	228690	55	55
132	22	dop	2.6228100000000723	-128.05583332345614	25	229591	59	59
133	20	dop	1.6482800000001134	-129.30110738225756	24	181741	53	53
134	14	dop	0.5800640000002204	-95.25316599747373	16	79093	37	37
135	25	dop	4.819525999999996	-170.0160575767991	26	321181	66	66
136	27	dop	4.755499999999984	-185.8043129701741	38	315282	74	74
137	25	dop	4.592716999999993	-175.62722275003466	32	322185	64	64
138	24	dop	1.7244249999998829	-149.72110723956195	30	190023	60	60
139	24	dop	3.115534999999909	-151.56349216623224	28	273105	66	66
140	17	dop	0.7826509999999871	-93.99185239398024	20	116811	43	43
141	23	dop	2.4967169999999896	-128.57964023729184	26	240932	60	60
142	11	dop	0.20863699999995333	-80.62836089154509	15	47558	31	31
143	11	dop	0.24614900000005946	-63.334343691654695	12	49835	28	28
144	24	dop	2.4934200000000146	-144.74268592284474	27	237328	63	63
145	22	dop	2.09708999999998	-144.75886094448578	25	220070	56	56
146	26	dop	4.628093999999919	-146.90163539677445	29	342018	71	71
147	22	dop	2.1954729999999927	-166.9879720916818	29	212315	58	58
148	15	dop	0.4732409999999163	-80.03247591271796	15	80769	40	40
149	20	dop	1.6752980000001116	-128.6720579484493	19	189149	51	51
150	18	dop	0.9574319999999261	-124.5601578202351	23	132885	50	50
151	24	dop	3.311097000000018	-143.50781575272896	26	281450	61	61
152	25	dop	3.89797899999985	-148.68951052756444	25	307263	65	65
153	23	dop	1.907278000000133	-135.97430316683753	27	207411	60	60
154	14	dop	0.5341090000001714	-109.76665848207088	20	88334	41	41
155	19	dop	1.154788999999937	-112.85402130468195	20	147748	53	53
156	31	dop	7.348551999999927	-149.30384074172545	26	416688	80	80
157	24	dop	3.053297000000157	-162.9644373694477	34	251111	62	62
158	15	dop	0.4494449999999688	-113.12366501789568	21	74876	39	39
159	27	dop	5.105270000000019	-159.5837606777713	29	329119	75	75
160	18	dop	1.3062910000001011	-100.47200256518796	19	146527	48	48
161	15	dop	0.4395560000000387	-88.23239100206987	18	77633	39	39
162	20	dop	1.6178529999999682	-125.8646385980535	23	183072	59	59
163	19	dop	1.5337960000001658	-118.50290840210903	22	179403	51	51
164	20	dop	1.7616089999999076	-132.2150578198357	26	195761	50	50
165	16	dop	0.5277030000002014	-91.05815581467515	17	89805	39	39
166	17	dop	0.8976549999999861	-96.53095320131274	18	127306	41	41
167	19	dop	1.814298000000008	-102.12968600503102	21	196010	50	50
168	15	dop	0.5581540000000587	-81.12539121667275	14	90774	39	39
169	19	dop	1.5700480000000425	-105.31776186204466	18	169436	54	54
170	22	dop	2.530725000000075	-116.1236679068429	22	228242	60	60
171	25	dop	4.137780000000021	-135.8402764823963	29	305899	68	68
172	24	dop	2.026947000000064	-155.16415937095312	28	214665	64	64
173	15	dop	0.3696390000000065	-80.65398647455379	18	66496	37	37
174	21	dop	2.2498689999999897	-132.95790486273415	26	223221	56	56
175	23	dop	2.7503200000001016	-154.80447131409798	27	252297	65	65
176	28	dop	4.327209999999923	-173.9612437579136	29	318364	72	72
177	22	dop	1.5009279999999308	-118.43620780575174	27	174428	57	57
178	21	dop	1.686331999999993	-118.90485880498932	20	191047	59	59
179	30	dop	6.0372919999999795	-168.9865968325734	33	395783	76	76
180	19	dop	1.1015580000000682	-120.06066441225938	26	142631	48	48
181	19	dop	1.4875609999999142	-102.43574166582252	16	162185	51	51
182	30	dop	8.145625999999993	-172.88006640690966	35	452325	76	76
183	22	dop	2.2440549999998893	-117.3496878692795	19	212020	57	57
