sentid	len	stage	elapsedtime	logprob	frags	numitems	golditems	totalgolditems
1	17	dop	0.46788500000000033	-121.93485493821376	23	90812	45	45
2	16	dop	0.33300699999999983	-96.92913276398765	20	70754	46	46
3	20	dop	0.9267599999999998	-132.96123094967106	24	138576	57	57
4	9	dop	0.06122999999999923	-71.44904035877803	14	20992	25	25
5	16	dop	0.4430189999999996	-110.61334312919838	23	87480	47	47
6	29	dop	3.3980449999999998	-161.88385989178852	38	285053	76	76
7	23	dop	1.4541199999999996	-160.7491574125243	32	176634	66	66
8	27	dop	3.055905000000001	-151.79430999193525	30	275678	74	74
9	28	dop	2.9659549999999992	-175.0034685906076	34	264995	79	79
10	18	dop	0.7097379999999998	-97.27942937798689	18	117948	49	49
11	15	dop	0.40826399999999907	-92.33854246707327	18	81990	40	40
12	22	dop	1.2334469999999982	-139.38818343539046	29	159658	64	64
13	17	dop	0.4202830000000013	-105.64569551972957	25	82449	47	47
14	24	dop	1.3181770000000022	-133.8956270619627	34	168664	64	64
15	15	dop	0.35345799999999983	-79.18366874454318	17	73748	42	42
16	19	dop	0.729412	-121.9296833629043	24	121752	51	51
17	19	dop	0.5313730000000021	-119.2081437102896	21	97268	54	54
18	24	dop	1.6301740000000002	-146.02744726369866	28	189637	68	68
19	24	dop	1.8319899999999976	-159.98341431707823	33	210465	65	65
20	21	dop	1.0395140000000005	-133.26266616794663	31	146714	61	61
21	19	dop	0.9367909999999995	-132.3859988344281	23	142536	49	49
22	21	dop	1.1182120000000033	-133.65347845980602	25	154888	61	61
23	14	dop	0.202299	-86.97362856060994	18	51686	40	40
24	16	dop	0.38319199999999753	-82.43802246771416	17	81266	41	41
25	12	dop	0.20663000000000054	-74.79300849060996	17	50514	36	36
26	18	dop	0.6272540000000006	-120.94583595032282	23	110184	48	48
27	20	dop	0.7395199999999988	-126.71777971387452	27	121233	51	51
28	17	dop	0.3382270000000034	-119.55043482430843	29	71848	48	48
29	21	dop	1.0407130000000002	-150.59814346472336	29	143515	56	56
30	14	dop	0.2580100000000023	-98.47867514881618	22	60612	40	40
31	18	dop	0.7712029999999999	-123.01334847841127	24	125902	52	52
32	20	dop	0.9034259999999961	-118.18328344454477	26	136317	55	55
33	19	dop	0.6342780000000019	-125.52237398125018	26	110822	52	52
34	13	dop	0.18933800000000645	-87.65158184972597	16	47277	36	36
35	23	dop	1.525076999999996	-161.09699001420105	30	182110	63	63
36	24	dop	1.6993050000000025	-176.6077591462319	38	192624	70	70
37	24	dop	1.7054270000000002	-169.5240587861987	30	200050	63	63
38	21	dop	0.6245480000000043	-145.84465724111803	28	104961	56	56
39	23	dop	1.3352509999999995	-146.32432029185324	28	171715	65	65
40	15	dop	0.28508099999999814	-91.37024506135212	20	64580	41	41
41	21	dop	0.8886850000000024	-122.22592121481968	25	134175	56	56
42	11	dop	0.10506699999999825	-75.02557825623441	14	32083	31	31
43	10	dop	0.110478999999998	-58.25625578770113	11	32078	27	27
44	21	dop	0.9218459999999951	-134.04226585251294	24	134825	60	60
45	20	dop	0.9557369999999992	-136.40065657954398	27	141830	53	53
46	25	dop	1.9576059999999984	-140.72944185334384	28	216603	72	72
47	21	dop	0.7225730000000041	-159.51270011534314	29	114173	56	56
48	14	dop	0.19756699999999938	-73.31254141144522	14	49285	39	39
49	17	dop	0.5411420000000007	-118.44600634251213	21	100416	47	47
50	16	dop	0.3820570000000032	-115.4172009713184	21	78318	48	48
51	23	dop	1.2553529999999995	-140.58155315414197	32	166854	60	60
52	24	dop	1.6317949999999968	-144.92507585325296	28	192571	64	64
53	22	dop	0.8072760000000017	-124.24762869491998	25	127154	59	59
54	13	dop	0.22085100000000324	-99.27222229092376	20	51846	40	40
55	18	dop	0.4906519999999972	-108.29453453703537	21	91234	52	52
56	29	dop	2.780940000000001	-141.93338070059585	28	255852	78	78
57	22	dop	1.1253129999999985	-153.44214657753946	34	152456	60	60
58	13	dop	0.17277200000000192	-106.96446081973292	24	43830	36	36
59	26	dop	1.8769520000000028	-149.2386591397304	32	205015	74	74
60	17	dop	0.4631869999999978	-94.13624512836466	17	88641	47	47
61	12	dop	0.16028599999999926	-81.92362562879178	18	43813	34	34
62	19	dop	0.6736580000000032	-119.65239273718629	24	113829	57	57
63	17	dop	0.6729859999999945	-112.19995585952111	24	113512	48	48
64	18	dop	0.585995000000004	-114.72694805215916	22	102671	48	48
65	14	dop	0.21642699999999593	-87.45652181520487	18	53253	36	36
66	14	dop	0.22254599999999414	-68.1687572319568	12	54324	37	37
67	18	dop	0.756617999999996	-98.0021767766834	19	124976	49	49
68	13	dop	0.20091200000000242	-68.2614224894452	12	52163	37	37
69	18	dop	0.6373569999999944	-97.92462237652437	18	106694	53	53
70	20	dop	0.964895999999996	-103.17877958958874	19	138156	57	57
71	23	dop	1.6113750000000095	-133.3357784278202	28	178317	65	65
72	22	dop	0.8139860000000141	-140.15389196631696	26	129258	62	62
73	11	dop	0.10367899999999963	-71.32906421992377	14	29669	32	32
74	19	dop	0.7274329999999907	-119.78588289904165	24	121556	54	54
75	22	dop	1.002159000000006	-152.0939170119142	27	148623	63	63
76	26	dop	1.8142489999999896	-163.304127446191	28	195186	69	69
77	20	dop	0.5182339999999925	-116.86501953570325	27	93535	53	53
78	20	dop	0.7367509999999982	-117.37395537706428	21	117462	58	58
79	26	dop	2.315724000000003	-155.06758987041655	30	237621	70	70
80	18	dop	0.44438900000000103	-110.7352345401092	26	85111	47	47
81	17	dop	0.5189930000000089	-96.15795007239515	17	95071	48	48
82	28	dop	3.2237769999999983	-156.9021269501484	32	279636	73	73
83	21	dop	0.9095040000000125	-118.32180797013217	21	132651	55	55
84	17	dop	0.46272900000001016	-93.68215419088752	18	87958	50	50
85	13	dop	0.20965699999999288	-90.24807360984352	17	50834	37	37
86	20	dop	0.8338700000000046	-125.47576613143083	33	126406	53	53
87	15	dop	0.2950890000000044	-83.48823294900967	17	66484	42	42
88	19	dop	0.5567649999999986	-121.0730680849382	24	99300	51	51
89	20	dop	0.6542539999999946	-120.69940793085397	28	113561	55	55
90	13	dop	0.20508399999999938	-88.48110026207809	18	51178	35	35
91	25	dop	1.718053999999995	-153.39211415029882	30	200744	73	73
92	18	dop	0.615154000000004	-124.07698536311916	27	110936	48	48
93	13	dop	0.18015100000000928	-90.96073008499457	16	47950	36	36
94	18	dop	0.4914850000000115	-117.80898955442146	21	92927	51	51
95	18	dop	0.7117709999999988	-106.0224379601288	18	115774	48	48
96	18	dop	0.6622990000000044	-117.18351678856139	24	115040	47	47
97	22	dop	1.1750689999999935	-134.0011240712948	27	158934	65	65
98	25	dop	2.091358999999997	-162.089655781828	35	222900	68	68
99	29	dop	2.7649419999999907	-187.17019041566826	42	253464	85	85
100	19	dop	0.664629000000005	-114.04636461763697	19	109270	53	53
101	10	dop	0.12511200000000144	-64.85484024760702	14	37001	28	28
102	26	dop	2.315260000000009	-158.7043987551871	39	231748	68	68
103	11	dop	0.14391700000000185	-69.07420393203807	13	40291	33	33
104	8	dop	0.05414299999999628	-43.19994948396745	11	14444	27	27
105	20	dop	0.7250140000000016	-108.50126094230426	23	116130	55	55
106	8	dop	0.06930799999999238	-43.654806287473406	8	24044	21	21
107	5	dop	0.024501000000000772	-39.40056241761781	8	7668	15	15
108	10	dop	0.12880499999999984	-63.54560859783537	12	34359	29	29
109	8	dop	0.06905600000000334	-48.30370287303497	13	18301	25	25
110	5	dop	0.03888899999999751	-12.854095912142585	2	11806	14	14
111	18	dop	0.6033290000000022	-115.46727988083295	23	105498	49	49
